,Emotion,text_de,Text
132,anger,Dieser Roman ist ein Ärgernis.,
133,anger,Ein ständiges Ärgernis!,
134,anger,NAS ist der BASF ein Ärgernis.,
135,anger,Die staatliche Ausbildungsförderung wird zum Ärgernis bei der \ Haushaltssanierung.,
136,anger,Ökologisch ist Cabora Bassa nach wie vor ein Ärgernis.,
137,fear,Die USA argwöhnen ein zweites Cuba.,
138,anger,Elke wollte aufbrausen.,
139,anger,"Hör mir mal zu"""", sagte Elke aufbrausend.",
140,anger,"Lisa, über und über mit Farbklecksen besprenkelt, wollte aufbrausen.",
141,anger,"Mußte er nicht aufbrausen, fühlte er sich zu Unrecht beschuldigt?",
142,anger,Zweiling wollte aufbrausen.,
143,anger,"Kluttig wollte aufbrausen, doch Schwahl hatte schon zu sehr das Wort.",
144,anger,Die blasse Limonade der Evolution aufbrausend und aufstoßend.,
145,anger,"Du nimmst an, ich würde aufbrausen über Deine Wünsche.",
146,anger,In Zorn und Kummer wollt' ich aufbrausen.,
147,anger,"Hör mir mal zu"""", sagte Elke aufbrausend.",
148,anger,In Wirklichkeit war er aber nervös und aufbrausend.,
149,anger,"(choler = die Galle) Heißblütig, jähzornig und aufbrausend.",
150,anger,Die blasse Limonade der Evolution aufbrausend und aufstoßend.,
151,anger,Trotz seinem hohen Alter war er noch von aufbrausender Leidenschaft.,
152,anger,»Du Schleicher!« schrie er aufgebracht.,
153,anger,Natürlich sind die Architekten aufgebracht:,
154,anger,"Das ist doch utopisch"""", unterbrach Vogt aufgebracht.",
155,joy,Erika Sawilla ist keine Augenweide.,
156,joy,Eine Augenweide ist das Ballett - das auch singt!,
157,joy,"Eine großartige Selbstinszenierung, Ekstasen als Augenweide, Podiums-Tänze, aber aus ehrlicher Seele.",
158,joy,"Herrenschnitt, wenn man nach allen Richtungen auseinanderfließt, keine Augenweide, das!",
159,joy,Kostbar gebundene Bücher sind ihm Augenweide.,
160,joy,Aber der anspruchsvolle Besucher findet wenig zur Augenweide.,
161,joy,"Kunst war auch Dienerin großer Ideen, nicht nur Augenweide.",
162,joy,"Aber immer bleibt sie, nur darin der Wildnis ähnlich, eine Augenweide.",
163,joy,"Er war frisch, frech, eine Augenweide für Männer und Frauen.",
164,joy,Doch für die Spanier war es eine Augenweide.,
165,anger,"Ich würde ausflippen, wenn mich jemand unter der Fußsohle krault.",
166,anger,Ich würde ausflippen.,
167,joy,Lisa fotografierte die Frauen in all ihrer Ausgelassenheit.,
168,joy,"Ausgelassenheit und zugespitzte Groteske, hinter denen sich überschwengl.",
169,joy,Aber so was kann in der allgemeinen Ausgelassenheit schon mal vorkommen.,
170,joy,"Kati versuchte, sachlich zu bleiben, denn Horraths Ausgelassenheit steckte sie an:",
171,joy,Die Gelassenheit wie die Ausgelassenheit besagen:,
172,joy,Wohin aber hatten Humanität und Klugheit und schließlich noch Ausgelassenheit geführt?,
173,joy,"Was für Späße, was für Ausgelassenheit.",
174,joy,Diese Ausgelassenheit wird jäh unterbrochen durch Musette:,
175,joy,In seinen Augen funkelten alle Geister des Weins und der Ausgelassenheit.,
176,joy,"Ein Kirchweihtag voller Lust und Genuß, voller Freud und Ausgelassenheit.",
177,joy,Sie konnte ihre Ausgelassenheit kaum unterdrücken.,
178,fear,Es war mittlerweile auch so gut wie aussichtslos.,
179,fear,Die nutzlosen Informationen des Lexikons machten meine Lage nur aussichtsloser.,
180,fear,Erstmals seit langer Zeit scheint das aber nicht mehr aussichtslos.,
181,fear,Das aber wird mit jedem Tag aussichtsloser:,
182,fear,"Und etliche scheinbar aussichtslose Fälle, sagt Fischer, """"kommen ja wieder zurück"""".",
183,fear,Von diesem fast aussichtslosen Versuch erzählt Selim çürükkaya in seinem Buch.,
184,fear,"Die Anordnung unterbleibt, wenn eine Entziehungskur von vornherein aussichtslos erscheint.",
185,fear,Das war »außerplanmäßig« und ohne Beziehungen fast aussichtslos.,
186,fear,- nachdrückliche Demonstration der Aussichtslosigkeit jeder Art von Widerstand;,
187,fear,"Die Skepsis galt als ausweglos, als scheiternd an ihrer eigenen Autologie.",
188,fear,Der Finanzminister bezeichnet die Finanzlage als fast ausweglos.,
189,fear,In Ko-wo tsurete schildert Kasai eine geradezu ausweglose Situation:,
190,fear,"Trotzdem geriet er in ausweglose finanzielle Schwierigkeiten, wobei verschiedene Umstände zusammenwirkten.",
191,fear,"Er ist eigentlich weniger depressiv als unfroh, leer, ausweglos.",
192,fear,"Diese Gewölbe sind endlos, aber sie sind auch ausweglos.",
193,fear,Ich kam dann zum Abend sehr abgespannt u. ausweglos deprimiert nachhause.,
194,fear,Das ist das Kennwort dieser Welt: Ausweglosigkeit.,
195,fear,"Die Signaturen dieses Zurechtfindens heißen Abgeschnittenheit, Ausweglosigkeit, Verlassenheit.",
196,fear,Wieder erzielt Goya mit seinen Gestaltungsmitteln den Eindruck der Ausweglosigkeit.,
197,fear,Um so lastender die Ausweglosigkeit des Schlusses.,
198,fear,"Sackgasse, Ausweglosigkeit.",
199,fear,Die Zwergpiraten hatten nämlich einen fürchterlichen Bammel vor der Dunkelheit.,
200,fear,Davor haben sie Bammel.,
201,fear,"Aber viele haben doch """"Bammel"""" vor jedem Sprung.",
202,fear,Natürlich auch ein Bild von Bammel dabei.,
203,fear,Auch vor der Kautsch hab' ich Bammel.,
204,fear,»Ich habe nicht die Bohne Bammel vor morgen.«,
205,fear,"Keine Bange, liebes Hühnchen, tu' dir nichts zu ...",
206,fear,Bange Sorge bemächtigte sich der Gemüter.,
207,fear,Da hab' ich keine Bange.,
208,fear,"«Man keine Bange, Marian, der liebe Gott verläßt keinen Freidenker.»",
209,fear,"«Keine Bange, Kleiner, wir wissen, was gespielt wird.»",
210,fear,Man keine Bange.,
211,fear,"Wegen dem Kind, da hab mal keine Bange.",
212,fear,"«Habe keine Bange, ich merke mir die Namen nicht.",
213,fear,"Bange, stille Minuten vergingen.",
214,fear,Aber hab' keine Bange ... ich schaff' es schon irgendwie ...«,
215,fear,»Keine Bange ... ich bin ein Bekannter von Fräulein Zander.«,
216,fear,"»Keine Bange, Mutter Pratsch!",
217,fear,Bange Pause.,
218,fear,"W. Bange, M. E.s Lehre vom göttlichen und geschöpflichen Sein (1937).",
219,fear,"»Keine Bange, Señor Teniente!",
220,fear,Aber keine Bange.,
221,fear,Keine Bange.,
222,fear,"Hab' keine Bange, sind man bloß Jungens.""""",
223,fear,"Angst und Bange sind dasselbe, sind Beengung, Beengstigung, Beängstigung, Eingeengtsein.",
224,fear,"Nur keene Bange nich"""", sagte ein Fagott.",
225,fear,Hab vor dem Tuch nur keine Bange!,
226,fear,"Er sagte: """"Bange?",
227,fear,Bange?,
228,fear,"Er sagte: """"Bange?",
229,fear,Bange?,
230,fear,"Bange nicht um das Leben, grübele nicht darüber, sondern genieße es!",
231,fear,"Lange Tage, bange Wochen Geht die Schlacht.",
232,fear,"Sie sahen mich an, und mir wurde sehr bange.",
233,fear,"Zähe, bange Minuten vergehen.",
234,fear,Auf diesen Moment wartet Angie in banger Erwartung…,
235,fear,Laß dich nicht von der allgemeinen Hektik bange machen.,
236,fear,Ein bißchen bange ist mir schon:,
237,fear,Nach aktuellen Umfragen bangen 80 Prozent der Nutzer um ihre Daten.,
238,fear,Deutschlands dienstältester Oberbürgermeister muß bei der Kommunalwahl um sein Amt bangen,
239,fear,Um das Leben eines Menschen bangen.,
240,fear,"Weitere Abwandlungen der Furcht kennen wir als Schüchternheit, Scheu, Bangigkeit, Stutzigwerden.",
241,fear,Da befiel die drei andern Unruhe und Bangigkeit.,
242,fear,Die Bangigkeit der Heimkehr wich.,
243,fear,Und in die Freude seines Erlebens fiel bald eine fremde Bangigkeit.,
244,fear,Eine tiefe Bangigkeit beklemmte ihn.,
245,fear,Frieda berichtete ein wenig bänglich von der Aussprache mit ihrem Bruder.,
246,fear,Manchen von ihnen mochte nun freilich etwas bänglich zumute werden.,
247,fear,Jahrelang - bängliches Zögern und Drehen.,
248,fear,"Du fragst so bänglich, ob ich etwa unglücklich bin?",
249,fear,Cortez verbrachte die Nacht nicht ohne Bangnis.,
250,fear,Tragische »Töne« beängstigen ihn.,
251,fear,Das allein ist schon beängstigend genug.,
252,fear,Sie produzieren Wirbel und beängstigende Unruhe.,
253,fear,"Die Arbeitslosigkeit steigt, eine beängstigende Neuheit.",
254,fear,Dies schafft (für die kleinen Nationen) eine beängstigende Situation.,
255,fear,"Die Gefahr, aufzufliegen, wurde immer beängstigender"""", bekannte Treholt.",
256,fear,Es ist die Antwort auf die zutiefst beängstigende zivilisatorische Erfahrung.,
257,fear,Alle Eindrücke dieser fremden Welt sind zunächst einmal beängstigend.,
258,fear,Die jüngsten Beschäftigungsprognosen für das kommende Jahr klingen beängstigend.,
259,fear,Und wie beängstigend weit war er jetzt davon entfernt.,
260,fear,"(Die Stille, die sie jetzt umgibt, ist beängstigend.)",
261,fear,"Die Methoden der Einschüchterung werden beängstigend, der Einschüchterung nach innen.",
262,sadness,"Das ist bedauerlich, aber gerecht.",
263,sadness,So bedauerlich es manchem erscheinen mag:,
264,sadness,»Das ist bedauerlich und unnötig.,
265,sadness,"Das führt"""", schreibt Grunwald, """"zu einer zutiefst bedauerlichen Frage:",
266,sadness,"Die Greise stellen mit Bedauern fest, dass ihr Lehrstück nichts taugt:",
267,sadness,"Präsident Lee äußerte zwar sein Bedauern, unternahm aber nichts.",
268,sadness,Das Bedauern werde auch von seiten der DDR geteilt.,
269,sadness,In Stuttgart jedenfalls löst Gabriele Steckmeisters Weggang kaum Bedauern aus.,
270,sadness,Es bleibt da nur das Bedauern.,
271,sadness,"USA sprechen """"tiefes Bedauern"""" aus",
272,sadness,"Polina versteht nicht, warum Lisa am Tage ihrer Verlobung bedrückt ist.",
273,sadness,Auch Ernst und Elfie waren bedrückt.,
274,sadness,"Seine Frau, die bisher bedrückt geschwiegen hat, sagt: """"Ich habe gefragt:",
275,sadness,"Das Schweigen, das zurückblieb, war bedrückt, schockiert.",
276,sadness,"Seht ihr, das meine ich"""", sagt Ares bedrückt.",
277,sadness,"Ernster schaut er, bedrückt.",
278,sadness,"Was bedrückt dich in Wahrheit?""""",
279,sadness,"Er sah nicht, wie bedrückt Lisa war.",
280,sadness,Heute bin ich zugleich erleichtert und bedrückt.,
281,sadness,"Was mich bedrückt, ist die Frage:",
282,sadness,"Das war etwas, das mich seinerzeit entsetzlich bedrückt hat.",
283,sadness,Mir ist fürchterlich schwer und bedrückt zumut.«,
284,sadness,"Lambsdorff, der sonst Härte mit Heiterkeit zu camouflieren versteht, wirkt bedrückt.",
285,sadness,"Ihre Gastgeber vom Polizei-Sportverein, so erzählten sie, waren bedrückt.",
286,sadness,"Diesmal aber schien sie mir bedrückt, ja geradezu verunsichert.",
287,sadness,"Sie leben in einer Kargheit, die sie nicht bedrückt.",
288,fear,"Er habe gewußt, »daß er nichts mehr zu befürchten hatte«.",
289,fear,"Aber das war mir gleichgültig, ich hatte davon nichts zu befürchten.",
290,fear,"Sie befürchten, dass das Völkerrecht fragmentarisiert werden könnte.",
291,fear,Auch diese Befürchtung wurde Herrn Bodeux nur zu gern geglaubt.,
292,fear,"Was war, wenn er mit seinen Befürchtungen recht gehabt hatte?",
293,fear,Prozeßbeobachter äußerten die Befürchtung:,
294,fear,Die schlimmsten Befürchtungen erfüllen sich:,
295,fear,Reale Gründe für solche Befürchtungen gibt es freilich nicht.,
296,fear,"»Jenseits aller unterschiedlichen Bewertungen, Hoffnungen, Befürchtungen ist ein Faktum gewiß:",
297,fear,"Das Wiedersehen beim Bruder Avdo ist, Emins Befürchtungen zum Trotz, überschwenglich.",
298,fear,"Meine Befürchtung, das würde auffallen, erwies sich zum Glück als unbegründet.",
299,fear,"Lisa erriet seine Befürchtungen und sagte: """"Ich brauche kein Geld.""""",
300,joy,"Die Frauen schienen darüber aber geradezu begeistert zu plaudern, auch Marie-Anne.",
301,joy,Frau Vollert trinkt und bekennt begeistert:,
302,joy,Nicht alle waren begeistert von den Berserkerposen des Trinkhelden.,
303,joy,Tausende Briefe begeisterter Verbraucher bestätigten den Erfolg.,
304,joy,Die Herren vom Vorstand waren begeistert.,
305,joy,Dort war man von der Idee hellauf begeistert.,
306,joy,Und rief plötzlich begeistert herüber: »Audiatur et altera pars!,
307,joy,Wir sind begeistert.,
308,joy,Irgendwie bin ich nicht so begeistert.,
309,joy,Der war am Anfang überhaupt nicht begeistert.,
310,joy,Die Jungs sind begeistert.,
311,joy,"Jeden Abend wurden die Ovationen lauter, anhaltender und begeisterter.",
312,joy,Er war nicht sehr begeistert.,
313,joy,Chemluth war davon gar nicht begeistert.,
314,joy,"Ich war rundum begeistert, denn für mich war das alles neu.",
315,joy,Sie war begeistert.,
316,joy,Später teilte ihr der Chef des Künstlerverbandes begeistert mit:,
317,joy,Aber auch an ihnen wurden Zeichen serieller Begeisterung gesetzt.,
318,joy,Die Begeisterung war allerdings nicht überall gleich groß.,
319,joy,Immer wieder hielten Likör-Liebhaber mit Begeisterung ihren Kopf hin.,
320,joy,Mein Plan stieß auf wenig Begeisterung.,
321,joy,Im allgemeinen Zuwachs der Begeisterung erhielt er unverdiente sechs Punkte.,
322,joy,Einige Fachleute belächeln sogar die Begeisterung der Deutschen für Präzision.,
323,joy,> zeigt Begeisterung für die Ziele,
324,joy,"Er hat für sich eine ganz neue, eine beglückende Welt entdeckt.",
325,joy,"Die Zärtlichkeit wird noch direkter, noch beglückender.",
326,joy,Beglückung.,
327,joy,Aber die Frau zeigt das mit einer Beglückung!,
328,joy,Doch welche Beglückung sollte hinter dessen Türen auf einen warten!,
329,joy,Hier Beglückung der Agnes.,
330,joy,Eine volle Beglückung übrigens ergäbe auch Cöln nicht.,
331,joy,Aber nun kam der Gipfel der Beglückung:,
332,anger,Entschuldige Er die Behelligung - Er kennt doch die Leute.,
333,sadness,"Wir bejammern sie aber nicht, was billig wäre.",
334,sadness,"Wir können diese Lage bejammern, aber das wird sie nicht ändern.",
335,sadness,"Ach, selbst die Aasgeier bejammern mein Los.",
336,sadness,"Die Welt kann ihn nicht genug bejammern, wenn sie davon erfährt.",
337,sadness,Da wird das beklagenswerte Handikap der amerikanischen Banken wieder einmal deutlich.,
338,sadness,Schließlich waren die Unternehmensgewinne nach 1979 beklagenswert verfallen.,
339,sadness,Die Fahrbahndecke befindet sich auf weiten Strecken in einem beklagenswerten Zustand.,
340,sadness,An Kleiderbügeln herrscht in Hotels und Pensionen oft ein beklagenswerter Mangel.,
341,sadness,"Eine traurige, beklagenswerte Verirrung.",
342,fear,Man liest Urteilssätze wie diese nur mit Beklommenheit:,
343,fear,Freude und Beklommenheit hielten sich die Waage.,
344,fear,Klänge von unbeschreiblicher Trauer und Beklommenheit.,
345,fear,"Heinrich fuhr ganz langsam, Werners Beklommenheit stieg.",
346,fear,"Hatte der Abend Beklommenheit gebracht, so enttäuschte der Morgen.",
347,fear,Die mächtige Farbigkeit und die Stille verstärkten Georgs Beklommenheit.,
348,anger,"Sind die alle in der Schweiz so beknackt wie du?""""",
349,anger,Das ist ungefähr so wie bei diesen beknackten Briefen.,
350,sadness,Alle sind sie ein wenig bekümmert.,
351,sadness,Seine Frau nickt bekümmert.,
352,sadness,Dennoch macht Jensen zuweilen ein bekümmertes Gesicht.,
353,sadness,"Sprach's und ging von dannen, offenbar wenig bekümmert.",
354,sadness,"Amanda spricht nicht aufdringlich laut, aber nicht bekümmert um Zuhörer.",
355,sadness,"Der sanfte Regisseur beugte bekümmert sein Haupt, flüsterte:",
356,sadness,"Bei Jakobs Augenlicht, er wirkt bekümmert, da soll sich einer auskennen.",
357,sadness,"Ach, ich weiß nicht ߪ ich bin bekümmert.",
358,sadness,"Doch der Alte war sorglos, nur bekümmert.",
359,anger,Die beleidigte Spitze der Großbanken.,
360,anger,Die beleidigten Kriegsverbrecher.,
361,anger,Herr Kiesinger fühlte sich beleidigt und stellte Strafantrag.,
362,anger,> Wurden Sie schon einmal persönlich angegriffen oder beleidigt?,
363,anger,Sind Sie beleidigt oder eingeschüchtert?,
364,anger,"Befehl ist Befehl, brüllte Edi, als sei er beleidigt worden.",
365,anger,Sein Sohn war beleidigt worden.,
366,anger,Waren Sie nicht beleidigt?,
367,anger,"Volksverhetzung, Verunglimpfung des Staates, Beleidigung und Verunglimpfung des Andenkens Verstorbener.",
368,anger,für die Fälle der Beleidigung (vgl.,
369,anger,"Mal war es Landesverrat, mal Beleidigung.",
370,anger,Es klingt bescheuert.,
371,anger,"»Wir sind nicht crazy, sondern bescheuert«, antwortet der dicke Felix erbost.",
372,anger,In irgend so einem bescheuerten Internat.,
373,anger,»Seid ihr denn total bescheuert?« fragt Janosch.,
374,anger,»Sind die bescheuert?« fragt Janosch.,
375,anger,"»Du bist bescheuert«, sagt er und sieht an ihren Beinen hinab.",
376,anger,"Seid ihr bescheuert?""""",
377,anger,Du bist bescheuert.,
378,anger,Bin ich bescheuert!,
379,anger,"Hält man uns """"Wessis"""" inzwischen für total bescheuert?",
380,anger,"Natürlich war's bescheuert von ihr, sich überhaupt auf so was einzulassen.",
381,anger,"Der denkt doch, ich bin bescheuert.",
382,anger,Sowas bescheuertes.,
383,anger,"bescheuert - blöde,",
384,anger,Mit Kritik und freier Meinungsäußerung hätten solche Beschimpfungen nichts zu tun.,
385,anger,"§ 166 Beschimpfung von Bekenntnissen, Religionsgesellschaften und Weltanschauungsvereinigungen.",
386,anger,Beschimpfung bis zur Bombendrohung: Lübecks Bürgermeister Bouteiller,
387,anger,Er kann die Beschimpfung nicht bis zur Feindschaft ausweiten.,
388,anger,"Und wer nicht Solidarität übte, mußte mehr fürchten als nur Beschimpfungen.",
389,anger,Der Reichswehrminister verbietet alle Beschimpfungen der Reichswehr.,
390,anger,"Gezielte Beschimpfungen auf bestimmte Menschen fand er, Pierre, der Drucker, nicht.",
391,anger,Aus den Beschimpfungen wurden tätliche Angriffe.,
392,anger,Gegenseitige Beschimpfungen zweier Berufsorganisationen endeten jetzt vor dem Kadi.,
393,anger,"Anonyme Morddrohung kommt per Post, Beschimpfung.",
394,joy,Aber aus der munteren Beschwingtheit wird dann nur allzuoft lärmende Trunkenheit.,
395,joy,Die Beschwingtheit fehlt.,
396,joy,"Diese Beschwingtheit ist ein Teil, ein großer Teil des Humors.",
397,joy,"Verstehst du den Sinn der Anmut, der Beschwingtheit, des Gelockertseins?",
398,fear,Alice sieht sie ziemlich besorgt an.,
399,fear,"Rike tritt an die beiden heran, macht ein besorgtes Gesicht.",
400,fear,Zeitunglesen besorgt für ihn seine Frau [...],
401,fear,Die Wellen umkreisten mich mit besorgten Gesichtern.,
402,fear,»Was machst du denn hier?« fragte er besorgt.,
403,fear,Die Finsterbergmade machte allerdings einen besorgten Eindruck.,
404,fear,Er hatte eine besorgte Miene aufgesetzt.,
405,fear,Er sieht besorgt aus.,
406,fear,Er sieht tatsächlich besorgt aus.,
407,fear,fragte Bo besorgt.,
408,fear,JELZIN zeigte sich besorgt über die instabile Lage im Nordkaukasus.,
409,fear,Die bezeichneten Geschäfte werden jedoch nur besorgt:,
